ID	Module	newScore	Score	LogFC	Symbol	MGI	URL	Process	Function	Component	Pathway
ENSMUSG00000052459		0.0	-3.69125421175851	0.733238680177133	Atp6v1a	MGI:1201780	http://www.kegg.jp/dbget-bin/www_bget?mmu:11964				
ENSMUSG00000035048		0.0	-3.31466448413127	-0.399210682344163	Anapc13	MGI:1916260	http://www.kegg.jp/dbget-bin/www_bget?mmu:69010				
ENSMUSG00000017737		0.0	-0.0719605825089839	-2.76637012903493	Mmp9	MGI:97011	http://www.kegg.jp/dbget-bin/www_bget?mmu:17395				
ENSMUSG00000045827		0.0	-5.20253224669419	-0.399193541075721	Serpinb9	MGI:106603	http://www.kegg.jp/dbget-bin/www_bget?mmu:20723				
ENSMUSG00000032796		0.0	-6.23855052209917	0.000822482065729588	Lama1	MGI:99892	http://www.kegg.jp/dbget-bin/www_bget?mmu:16772				
ENSMUSG00000019916		0.0	-0.0395212891927833	0.708845273344834	P4ha1	MGI:97463	http://www.kegg.jp/dbget-bin/www_bget?mmu:18451				
ENSMUSG00000053453		0.0	-4.46608209181749	-0.273622305946464	Thoc7	MGI:1913481	http://www.kegg.jp/dbget-bin/www_bget?mmu:66231				
ENSMUSG00000021760		0.0	-2.2517180792444	-0.808942539803882	Gpx8	MGI:1916840	http://www.kegg.jp/dbget-bin/www_bget?mmu:69590				
ENSMUSG00000004947		0.0	-3.82590994208566	0.54277596655225	Dtx2	MGI:1921448	http://www.kegg.jp/dbget-bin/www_bget?mmu:74198				
ENSMUSG00000030042		0.0	-5.44111484445793	-0.322555360748541	Pole4	MGI:1914229	http://www.kegg.jp/dbget-bin/www_bget?mmu:66979				
ENSMUSG00000021816		0.0	-2.9311172508864	-0.561542578648032	Ppp3cb	MGI:107163	http://www.kegg.jp/dbget-bin/www_bget?mmu:19056				
ENSMUSG00000001473		0.0	-2.13461837534006	1.03570355062642	Tubb6	MGI:1915201	http://www.kegg.jp/dbget-bin/www_bget?mmu:67951				
ENSMUSG00000027405		0.0	-2.86801943995449	1.44119006669079	Nop56	MGI:1914384	http://www.kegg.jp/dbget-bin/www_bget?mmu:67134				
ENSMUSG00000000811		0.0	-4.9787940957776	0.21650388187482	Txnrd3	MGI:2386711	http://www.kegg.jp/dbget-bin/www_bget?mmu:232223				
ENSMUSG00000041014		0.0	-5.84443109082495	-0.0628730008133423	Nrg3	MGI:1097165	http://www.kegg.jp/dbget-bin/www_bget?mmu:18183				
ENSMUSG00000027406		0.0	-3.17917238022296	-0.518457114153527	Idh3b	MGI:2158650	http://www.kegg.jp/dbget-bin/www_bget?mmu:170718				
ENSMUSG00000054582		0.0	-6.17775063978506	-0.0144768896988795	Pabpc1l	MGI:1922908	http://www.kegg.jp/dbget-bin/www_bget?mmu:381404				
ENSMUSG00000020363		0.0	-5.85877785326672	0.0947153303202072	Gfpt2	MGI:1338883	http://www.kegg.jp/dbget-bin/www_bget?mmu:14584				
ENSMUSG00000020362		0.0	-4.05179210559396	0.44602545668145	Cnot6	MGI:2144529	http://www.kegg.jp/dbget-bin/www_bget?mmu:104625				
ENSMUSG00000029053		0.0	-4.71959372542418	-0.300666114258242	Prkcz	MGI:97602	http://www.kegg.jp/dbget-bin/www_bget?mmu:18762				
ENSMUSG00000015461		0.0	-2.93861065984345	1.34533659239039	Atf6b	MGI:105121	http://www.kegg.jp/dbget-bin/www_bget?mmu:12915				
ENSMUSG00000018209		0.0	-3.48502241055832	-0.641167456676371	Stk4	MGI:1929004	http://www.kegg.jp/dbget-bin/www_bget?mmu:58231				
ENSMUSG00000022971		0.0	0.202701929810771	-0.408811699626556	Ifnar2	MGI:1098243	http://www.kegg.jp/dbget-bin/www_bget?mmu:15976				
ENSMUSG00000015468		0.0	-4.75478634128105	0.269586783035134	Notch4	MGI:107471	http://www.kegg.jp/dbget-bin/www_bget?mmu:18132				
ENSMUSG00000033318		0.0	-6.08608273596102	-0.0295607889501367	Gstt2	MGI:106188	http://www.kegg.jp/dbget-bin/www_bget?mmu:14872				
ENSMUSG00000019828		0.0	-4.49110590540936	NaN	Grm1	MGI:1351338	http://www.kegg.jp/dbget-bin/www_bget?mmu:14816				
ENSMUSG00000024448		0.0	-4.75624659999862	0.245860213478492	H2-M10.1	MGI:1276522	http://www.kegg.jp/dbget-bin/www_bget?mmu:14985				
ENSMUSG00000019822		0.0	-5.14389711827112	0.323938050784866	Smpd2	MGI:1278330	http://www.kegg.jp/dbget-bin/www_bget?mmu:20598				
ENSMUSG00000021962		0.0	-4.8817339309221	0.177910553697882	Dcp1a	MGI:1923151	http://www.kegg.jp/dbget-bin/www_bget?mmu:75901				
ENSMUSG00000021963		0.0	-4.97224781610714	NaN	Sap18	MGI:1277978	http://www.kegg.jp/dbget-bin/www_bget?mmu:20220				
ENSMUSG00000070284		0.0	-4.30047386999823	0.253140245186752	Gmppb	MGI:2660880	http://www.kegg.jp/dbget-bin/www_bget?mmu:331026				
ENSMUSG00000001270		0.0	-6.10861908284312	0.0314226527417369	Ckb	MGI:88407	http://www.kegg.jp/dbget-bin/www_bget?mmu:12709				
